ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,car_model,controller,trace_2khz
06:37:09,carcorner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788788243-0001,34.7709,114.08,1.0531,2.42,60.0,35.14,1.042,0.20,6.1,3.4,28.4,100.0,26.805,0.3522,0,6b41ae38-d111e559-110747,1,19.7,OK,etk800,DynamicABS,etk800_DynamicABS_s0.20_rep1_1788788243-0001_2khz.csv
06:37:29,carcorner,etk800,DynamicABS1.pc,single,2,60,-0.2,0.0,1.0,1788788263-0002,34.8642,114.38,1.0503,2.43,60.0,35.27,1.038,0.20,6.1,3.3,29.3,100.0,26.420,0.3622,0,6b41ae38-d111e559-110747,1,19.7,OK,etk800,DynamicABS,etk800_DynamicABS_s0.20_rep2_1788788263-0002_2khz.csv
06:37:49,carcorner,etk800,DynamicABS1.pc,single,3,60,-0.2,0.0,1.0,1788788282-0003,35.0915,115.13,1.0435,2.44,60.0,35.47,1.032,0.20,6.1,3.4,28.3,100.0,26.604,0.3503,0,6b41ae38-d111e559-110747,1,19.4,OK,etk800,DynamicABS,etk800_DynamicABS_s0.20_rep3_1788788282-0003_2khz.csv
06:38:08,carcorner,etk800,DynamicABS1.pc,single,1,60,-0.5,0.0,1.0,1788788302-0004,39.6629,130.13,0.9232,2.79,60.0,41.30,0.887,0.50,15.9,10.5,58.2,96.5,83.739,0.2302,0,6b41ae38-d111e559-110747,1,18.9,OK,etk800,DynamicABS,etk800_DynamicABS_s0.50_rep1_1788788302-0004_2khz.csv
06:38:27,carcorner,etk800,DynamicABS1.pc,single,2,60,-0.5,0.0,1.0,1788788320-0005,39.2584,128.80,0.9327,2.76,60.0,40.84,0.897,0.50,16.0,10.6,57.6,97.0,84.381,0.2277,0,6b41ae38-d111e559-110747,1,19.7,OK,etk800,DynamicABS,etk800_DynamicABS_s0.50_rep2_1788788320-0005_2khz.csv
06:38:47,carcorner,etk800,DynamicABS1.pc,single,3,60,-0.5,0.0,1.0,1788788340-0006,39.2591,128.80,0.9327,2.76,60.0,40.82,0.897,0.50,15.9,10.6,57.2,97.0,84.394,0.2265,0,6b41ae38-d111e559-110747,1,19.6,OK,etk800,DynamicABS,etk800_DynamicABS_s0.50_rep3_1788788340-0006_2khz.csv
06:39:06,carcorner,etk800,DynamicABS1.pc,single,1,60,-1.0,0.0,1.0,1788788360-0007,42.2473,138.61,0.8668,2.99,60.0,44.57,0.822,1.00,34.4,27.6,70.8,93.8,227.924,0.1068,0,6b41ae38-d111e559-110747,1,18.9,OK,etk800,DynamicABS,etk800_DynamicABS_s1.00_rep1_1788788360-0007_2khz.csv
06:39:25,carcorner,etk800,DynamicABS1.pc,single,2,60,-1.0,0.0,1.0,1788788379-0008,42.7646,140.30,0.8563,3.01,60.0,45.07,0.812,1.00,34.1,27.5,70.0,93.3,226.391,0.1062,0,6b41ae38-d111e559-110747,1,19.7,OK,etk800,DynamicABS,etk800_DynamicABS_s1.00_rep2_1788788379-0008_2khz.csv
06:39:45,carcorner,etk800,DynamicABS1.pc,single,3,60,-1.0,0.0,1.0,1788788398-0009,42.8447,140.57,0.8547,3.02,60.0,45.20,0.810,1.00,34.1,27.4,70.6,93.2,226.644,0.1068,0,6b41ae38-d111e559-110747,1,19.0,OK,etk800,DynamicABS,etk800_DynamicABS_s1.00_rep3_1788788398-0009_2khz.csv
06:40:26,carcorner,etk800,StockABS1.pc,single,1,60,-0.2,0.0,1.0,1788788439-0001,41.8217,137.21,0.8756,2.86,60.0,43.41,0.844,0.20,6.1,2.7,50.3,94.3,21.771,0.5051,0,,0,18.6,OK,etk800,StockABS,
06:40:45,carcorner,etk800,StockABS1.pc,single,2,60,-0.2,0.0,1.0,1788788458-0002,41.7151,136.86,0.8778,2.86,60.0,43.32,0.845,0.20,6.1,2.7,50.8,94.4,21.806,0.5057,0,,0,18.8,OK,etk800,StockABS,
06:41:04,carcorner,etk800,StockABS1.pc,single,3,60,-0.2,0.0,1.0,1788788477-0003,41.4217,135.90,0.8840,2.85,60.0,42.93,0.853,0.20,6.1,2.6,49.4,94.7,21.993,0.5039,0,,0,18.0,OK,etk800,StockABS,
06:41:22,carcorner,etk800,StockABS1.pc,single,1,60,-0.5,0.0,1.0,1788788495-0004,47.2135,154.90,0.7756,3.31,60.0,51.02,0.718,0.50,15.9,10.7,77.5,89.2,84.407,0.2475,0,,0,18.3,OK,etk800,StockABS,
06:41:40,carcorner,etk800,StockABS1.pc,single,2,60,-0.5,0.0,1.0,1788788513-0005,46.4636,152.44,0.7881,3.29,60.0,50.34,0.727,0.50,16.0,10.6,79.4,89.9,84.372,0.2539,0,,0,18.7,OK,etk800,StockABS,
06:41:59,carcorner,etk800,StockABS1.pc,single,3,60,-0.5,0.0,1.0,1788788532-0006,46.8254,153.63,0.7820,3.32,60.0,50.80,0.721,0.50,15.9,10.6,79.6,89.6,83.849,0.2539,0,,0,18.2,OK,etk800,StockABS,
06:42:17,carcorner,etk800,StockABS1.pc,single,1,60,-1.0,0.0,1.0,1788788550-0007,50.0210,164.11,0.7321,3.57,60.0,54.61,0.670,1.00,34.4,28.4,86.6,84.4,230.833,0.1070,0,,0,18.3,OK,etk800,StockABS,
06:42:35,carcorner,etk800,StockABS1.pc,single,2,60,-1.0,0.0,1.0,1788788568-0008,49.9190,163.78,0.7335,3.54,60.0,54.24,0.675,1.00,34.3,28.5,84.2,83.7,231.074,0.1052,0,,0,18.1,OK,etk800,StockABS,
06:42:53,carcorner,etk800,StockABS1.pc,single,3,60,-1.0,0.0,1.0,1788788586-0009,50.0420,164.18,0.7317,3.55,60.0,54.45,0.672,1.00,34.3,28.4,84.9,83.9,230.803,0.1057,0,,0,18.1,OK,etk800,StockABS,
06:43:33,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-0.2,0.0,1.0,1788788626-0001,42.1621,138.33,0.8685,2.87,60.0,43.72,0.838,0.20,6.1,2.8,49.5,93.9,21.848,0.4955,0,,0,18.6,OK,etk800,StockABS_TC_ESC,
06:43:52,carcorner,etk800,StockABSTCESC1.pc,single,2,60,-0.2,0.0,1.0,1788788645-0002,41.3791,135.76,0.8849,2.81,60.0,42.72,0.857,0.20,6.1,2.8,46.5,94.7,22.449,0.4782,0,,0,18.6,OK,etk800,StockABS_TC_ESC,
06:44:11,carcorner,etk800,StockABSTCESC1.pc,single,3,60,-0.2,0.0,1.0,1788788664-0003,41.8623,137.34,0.8747,2.87,60.0,43.48,0.842,0.20,6.1,2.6,50.7,94.2,21.796,0.5108,0,,0,19.0,OK,etk800,StockABS_TC_ESC,
06:44:30,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-0.5,0.0,1.0,1788788683-0004,46.2935,151.88,0.7910,3.30,60.0,50.24,0.729,0.50,15.9,10.4,79.6,90.0,82.374,0.2586,0,,0,18.2,OK,etk800,StockABS_TC_ESC,
06:44:48,carcorner,etk800,StockABSTCESC1.pc,single,2,60,-0.5,0.0,1.0,1788788701-0005,46.3276,151.99,0.7904,3.33,60.0,50.53,0.725,0.50,16.1,10.6,82.3,90.0,83.944,0.2589,0,,0,19.1,OK,etk800,StockABS_TC_ESC,
06:45:07,carcorner,etk800,StockABSTCESC1.pc,single,3,60,-0.5,0.0,1.0,1788788720-0006,47.1379,154.65,0.7768,3.35,60.0,51.34,0.713,0.50,16.0,10.7,81.5,89.3,83.993,0.2558,0,,0,18.2,OK,etk800,StockABS_TC_ESC,
06:45:25,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-1.0,0.0,1.0,1788788739-0007,50.3171,165.08,0.7278,3.63,60.0,55.12,0.664,1.00,34.4,28.0,90.6,84.0,228.877,0.1110,0,,0,19.2,OK,etk800,StockABS_TC_ESC,
