ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,dmg,codekey,tele_files,wall_s,status
15:41:59,straight,DynamicABS,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788648132-0001,30.4363,99.86,1.2031,2.20,60.0,30.44,1.203,0.00,0.2,0.1,1.1,0.0,0,ba2f3327-f04f27a6-108632,1,17.5,OK
15:42:17,straight,DynamicABS,DynamicABS1.pc,straight,1,80,0.0,0.0,1.0,1788648150-0002,53.9356,176.95,1.2077,2.95,80.0,53.94,1.208,0.00,0.2,0.2,1.2,0.0,0,ba2f3327-f04f27a6-108632,1,18.3,OK
15:42:35,straight,DynamicABS,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788648170-0003,121.7055,399.30,1.2047,4.45,120.0,121.71,1.205,0.00,0.2,0.2,2.1,0.0,0,ba2f3327-f04f27a6-108632,1,19.8,OK
15:42:55,straight,DynamicABS,DynamicABS1.pc,straight,1,160,0.0,0.0,1.0,1788648192-0004,215.1020,705.72,1.2120,5.94,160.0,215.10,1.212,0.00,0.2,0.2,2.8,0.0,0,ba2f3327-f04f27a6-108632,1,23.8,OK
15:43:44,straight,StockABS,StockABS1.pc,straight,1,60,0.0,0.0,1.0,1788648236-0001,31.4786,103.28,1.1633,2.27,60.0,31.48,1.163,0.00,0.2,0.1,1.0,0.0,0,,0,16.9,OK
15:44:01,straight,StockABS,StockABS1.pc,straight,1,80,0.0,0.0,1.0,1788648253-0002,54.7512,179.63,1.1897,3.00,80.0,54.75,1.190,0.00,0.2,0.2,1.2,0.0,0,,0,17.0,OK
15:44:18,straight,StockABS,StockABS1.pc,straight,1,120,0.0,0.0,1.0,1788648272-0003,122.2549,401.10,1.1993,4.49,120.0,122.26,1.199,0.00,0.2,0.2,2.0,0.0,0,,0,19.4,OK
15:44:37,straight,StockABS,StockABS1.pc,straight,1,160,0.0,0.0,1.0,1788648294-0004,216.9097,711.65,1.2019,6.00,160.0,216.91,1.202,0.00,0.2,0.2,2.8,0.0,0,,0,22.2,OK
15:45:23,straight,DynamicABS,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788648336-0001,32.5952,106.94,1.1234,2.30,60.0,32.60,1.123,0.00,0.2,0.1,2.0,0.0,0,ba2f3327-f04f27a6-108632,1,18.4,OK
15:45:42,straight,DynamicABS,DynamicABS1.pc,straight,2,80,0.0,0.0,1.0,1788648355-0002,54.0111,177.20,1.2060,2.95,80.0,54.01,1.206,0.00,0.2,0.2,1.3,0.0,0,ba2f3327-f04f27a6-108632,1,18.6,OK
15:46:01,straight,DynamicABS,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788648375-0003,121.8174,399.66,1.2036,4.46,120.0,121.82,1.204,0.00,0.2,0.2,2.4,0.0,0,ba2f3327-f04f27a6-108632,1,20.1,OK
