ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,car_model,controller,trace_2khz
01:30:20,straight,DynamicABS,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788769836-0001,32.2221,105.72,1.1364,2.28,60.0,32.22,1.136,0.00,0.2,0.1,1.0,0.0,1.114,0.3436,0,6b41ae38-d111e559-110747,1,22.8,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep1_1788769836-0001_2khz.csv
01:30:48,straight,DynamicABS,DynamicABS1.pc,straight,1,80,0.0,0.0,1.0,1788769865-0002,55.4211,181.83,1.1753,3.00,80.0,55.42,1.175,0.00,0.2,0.2,1.3,0.0,1.559,0.2709,0,6b41ae38-d111e559-110747,1,23.0,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep1_1788769865-0002_2khz.csv
01:31:17,straight,DynamicABS,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788769896-0003,124.5342,408.58,1.1774,4.53,120.0,124.53,1.177,0.00,0.2,0.2,2.2,0.0,2.545,0.1923,0,6b41ae38-d111e559-110747,1,26.0,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep1_1788769896-0003_2khz.csv
01:32:11,straight,StockABS,StockABS1.pc,straight,1,60,0.0,0.0,1.0,1788769947-0001,33.3218,109.32,1.0989,2.33,60.0,33.32,1.099,0.00,0.2,0.1,0.9,0.0,1.117,0.3112,0,,0,22.0,OK,etk800,StockABS,
01:32:39,straight,StockABS,StockABS1.pc,straight,1,80,0.0,0.0,1.0,1788769976-0002,57.6189,189.04,1.1305,3.07,80.0,57.62,1.130,0.00,0.2,0.2,1.2,0.0,1.603,0.2398,0,,0,23.1,OK,etk800,StockABS,
01:33:08,straight,StockABS,StockABS1.pc,straight,1,120,0.0,0.0,1.0,1788770006-0003,125.4729,411.66,1.1686,4.56,120.0,125.47,1.169,0.00,0.2,0.2,1.9,0.0,2.589,0.1679,0,,0,23.4,OK,etk800,StockABS,
01:33:59,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,1,60,0.0,0.0,1.0,1788770055-0001,33.3068,109.27,1.0994,2.33,60.0,33.31,1.099,0.00,0.2,0.1,0.8,0.0,1.122,0.3057,0,,0,22.9,OK,etk800,StockABS_TC_ESC,
01:34:28,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,1,80,0.0,0.0,1.0,1788770084-0002,57.1704,187.57,1.1394,3.06,80.0,57.17,1.139,0.00,0.2,0.2,1.2,0.0,1.582,0.2320,0,,0,22.9,OK,etk800,StockABS_TC_ESC,
01:34:56,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,1,120,0.0,0.0,1.0,1788770114-0003,124.9407,409.91,1.1736,4.54,120.0,124.94,1.174,0.00,0.2,0.2,2.0,0.0,2.599,0.1761,0,,0,24.9,OK,etk800,StockABS_TC_ESC,
01:35:49,straight,DynamicABS,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788770166-0001,32.2259,105.73,1.1363,2.28,60.0,32.23,1.136,0.00,0.2,0.1,0.9,0.0,1.175,0.3144,0,6b41ae38-d111e559-110747,1,23.3,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep2_1788770166-0001_2khz.csv
01:36:19,straight,DynamicABS,DynamicABS1.pc,straight,2,80,0.0,0.0,1.0,1788770198-0002,56.1032,184.07,1.1610,3.02,80.0,56.10,1.161,0.00,0.2,0.2,1.2,0.0,1.599,0.2433,0,6b41ae38-d111e559-110747,1,26.2,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep2_1788770198-0002_2khz.csv
01:36:51,straight,DynamicABS,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788770229-0003,125.2443,410.91,1.1707,4.54,120.0,125.24,1.171,0.00,0.2,0.2,2.1,0.0,2.562,0.1863,0,6b41ae38-d111e559-110747,1,26.0,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep2_1788770229-0003_2khz.csv
01:37:45,straight,StockABS,StockABS1.pc,straight,2,60,0.0,0.0,1.0,1788770282-0001,32.5553,106.81,1.1248,2.30,60.0,32.56,1.125,0.00,0.2,0.1,0.8,0.0,1.117,0.2956,0,,0,24.2,OK,etk800,StockABS,
01:38:15,straight,StockABS,StockABS1.pc,straight,2,80,0.0,0.0,1.0,1788770314-0002,56.6191,185.76,1.1505,3.04,80.0,56.62,1.150,0.00,0.2,0.2,1.2,0.0,1.581,0.2439,0,,0,24.1,OK,etk800,StockABS,
01:38:45,straight,StockABS,StockABS1.pc,straight,2,120,0.0,0.0,1.0,1788770345-0003,126.2612,414.24,1.1613,4.56,120.0,126.26,1.161,0.00,0.2,0.2,1.8,0.0,2.606,0.1615,0,,0,27.3,OK,etk800,StockABS,
01:39:40,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,2,60,0.0,0.0,1.0,1788770396-0001,33.3003,109.25,1.0996,2.33,60.0,33.30,1.100,0.00,0.2,0.1,0.9,0.0,1.123,0.3040,0,,0,21.8,OK,etk800,StockABS_TC_ESC,
01:40:08,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,2,80,0.0,0.0,1.0,1788770424-0002,56.7123,186.06,1.1486,3.05,80.0,56.71,1.149,0.00,0.2,0.2,1.3,0.0,1.611,0.2567,0,,0,22.3,OK,etk800,StockABS_TC_ESC,
01:40:37,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,2,120,0.0,0.0,1.0,1788770455-0003,124.8985,409.77,1.1739,4.54,120.0,124.90,1.174,0.00,0.2,0.2,1.9,0.0,2.593,0.1660,0,,0,25.1,OK,etk800,StockABS_TC_ESC,
01:41:29,straight,DynamicABS,DynamicABS1.pc,straight,3,60,0.0,0.0,1.0,1788770505-0001,32.6642,107.17,1.1211,2.29,60.0,32.66,1.121,0.00,0.2,0.1,0.9,0.0,1.126,0.3344,0,6b41ae38-d111e559-110747,1,22.2,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep3_1788770505-0001_2khz.csv
01:41:57,straight,DynamicABS,DynamicABS1.pc,straight,3,80,0.0,0.0,1.0,1788770534-0002,56.6265,185.78,1.1503,3.04,80.0,56.63,1.150,0.00,0.2,0.2,1.3,0.0,1.597,0.2537,0,6b41ae38-d111e559-110747,1,22.7,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep3_1788770534-0002_2khz.csv
01:42:26,straight,DynamicABS,DynamicABS1.pc,straight,3,120,0.0,0.0,1.0,1788770564-0003,124.2457,407.63,1.1801,4.52,120.0,124.25,1.180,0.00,0.2,0.2,2.2,0.0,2.555,0.1921,0,6b41ae38-d111e559-110747,1,25.0,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep3_1788770564-0003_2khz.csv
01:43:18,straight,StockABS,StockABS1.pc,straight,3,60,0.0,0.0,1.0,1788770614-0001,33.0670,108.49,1.1074,2.32,60.0,33.07,1.107,0.00,0.2,0.1,0.7,0.0,1.147,0.2678,0,,0,21.3,OK,etk800,StockABS,
01:43:46,straight,StockABS,StockABS1.pc,straight,3,80,0.0,0.0,1.0,1788770642-0002,57.6596,189.17,1.1297,3.08,80.0,57.66,1.130,0.00,0.2,0.2,1.2,0.0,1.586,0.2371,0,,0,23.7,OK,etk800,StockABS,
01:44:16,straight,StockABS,StockABS1.pc,straight,3,120,0.0,0.0,1.0,1788770673-0003,125.4132,411.46,1.1691,4.56,120.0,125.41,1.169,0.00,0.2,0.2,2.0,0.0,2.570,0.1698,0,,0,24.4,OK,etk800,StockABS,
01:45:08,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,3,60,0.0,0.0,1.0,1788770724-0001,33.4332,109.69,1.0953,2.34,60.0,33.43,1.095,0.00,0.2,0.1,0.8,0.0,1.110,0.2962,0,,0,21.8,OK,etk800,StockABS_TC_ESC,
01:45:35,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,3,80,0.0,0.0,1.0,1788770752-0002,57.0052,187.02,1.1427,3.06,80.0,57.01,1.143,0.00,0.2,0.2,1.3,0.0,1.594,0.2588,0,,0,22.8,OK,etk800,StockABS_TC_ESC,
01:46:04,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,3,120,0.0,0.0,1.0,1788770782-0003,125.3322,411.19,1.1699,4.55,120.0,125.33,1.170,0.00,0.2,0.2,1.9,0.0,2.626,0.1634,0,,0,24.7,OK,etk800,StockABS_TC_ESC,
01:46:56,straight,DynamicABS,DynamicABS1.pc,straight,4,60,0.0,0.0,1.0,1788770832-0001,31.7146,104.05,1.1546,2.26,60.0,31.71,1.155,0.00,0.2,0.1,0.8,0.0,1.146,0.3092,0,6b41ae38-d111e559-110747,1,22.6,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep4_1788770832-0001_2khz.csv
01:47:25,straight,DynamicABS,DynamicABS1.pc,straight,4,80,0.0,0.0,1.0,1788770861-0002,56.3449,184.86,1.1561,3.02,80.0,56.35,1.156,0.00,0.2,0.2,1.3,0.0,1.582,0.2692,0,6b41ae38-d111e559-110747,1,24.2,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep4_1788770861-0002_2khz.csv
01:47:55,straight,DynamicABS,DynamicABS1.pc,straight,4,120,0.0,0.0,1.0,1788770895-0003,123.8141,406.21,1.1842,4.52,120.0,123.81,1.184,0.00,0.2,0.2,2.1,0.0,2.559,0.1810,0,6b41ae38-d111e559-110747,1,28.1,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep4_1788770895-0003_2khz.csv
01:48:52,straight,StockABS,StockABS1.pc,straight,4,60,0.0,0.0,1.0,1788770948-0001,32.9938,108.25,1.1098,2.32,60.0,32.99,1.110,0.00,0.2,0.1,0.8,0.0,1.125,0.2883,0,,0,22.6,OK,etk800,StockABS,
01:49:21,straight,StockABS,StockABS1.pc,straight,4,80,0.0,0.0,1.0,1788770977-0002,57.7397,189.43,1.1281,3.07,80.0,57.74,1.128,0.00,0.2,0.2,1.1,0.0,1.589,0.2225,0,,0,22.5,OK,etk800,StockABS,
01:49:49,straight,StockABS,StockABS1.pc,straight,4,120,0.0,0.0,1.0,1788771007-0003,126.1024,413.72,1.1627,4.56,120.0,126.10,1.163,0.00,0.2,0.2,1.9,0.0,2.611,0.1658,0,,0,24.4,OK,etk800,StockABS,
01:50:41,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,4,60,0.0,0.0,1.0,1788771056-0001,33.2806,109.19,1.1003,2.33,60.0,33.28,1.100,0.00,0.2,0.1,0.9,0.0,1.112,0.3131,0,,0,22.4,OK,etk800,StockABS_TC_ESC,
01:51:09,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,4,80,0.0,0.0,1.0,1788771087-0002,57.5287,188.74,1.1323,3.07,80.0,57.53,1.132,0.00,0.2,0.2,1.1,0.0,1.605,0.2300,0,,0,23.4,OK,etk800,StockABS_TC_ESC,
01:51:39,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,4,120,0.0,0.0,1.0,1788771116-0003,125.1504,410.60,1.1716,4.55,120.0,125.15,1.172,0.00,0.2,0.2,2.0,0.0,2.583,0.1765,0,,0,23.9,OK,etk800,StockABS_TC_ESC,
01:52:31,straight,DynamicABS,DynamicABS1.pc,straight,5,60,0.0,0.0,1.0,1788771166-0001,32.3147,106.02,1.1332,2.28,60.0,32.31,1.133,0.00,0.2,0.1,1.0,0.0,1.119,0.3510,0,6b41ae38-d111e559-110747,1,22.2,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep5_1788771166-0001_2khz.csv
01:52:58,straight,DynamicABS,DynamicABS1.pc,straight,5,80,0.0,0.0,1.0,1788771195-0002,56.2112,184.42,1.1588,3.02,80.0,56.21,1.159,0.00,0.2,0.2,1.3,0.0,1.575,0.2676,0,6b41ae38-d111e559-110747,1,23.9,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep5_1788771195-0002_2khz.csv
01:53:28,straight,DynamicABS,DynamicABS1.pc,straight,5,120,0.0,0.0,1.0,1788771227-0003,125.5523,411.92,1.1678,4.55,120.0,125.55,1.168,0.00,0.2,0.2,2.1,0.0,2.558,0.1876,0,6b41ae38-d111e559-110747,1,26.3,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep5_1788771227-0003_2khz.csv
01:54:23,straight,StockABS,StockABS1.pc,straight,5,60,0.0,0.0,1.0,1788771278-0001,32.7254,107.37,1.1189,2.31,60.0,32.73,1.119,0.00,0.2,0.2,0.8,0.0,1.158,0.2740,0,,0,21.6,OK,etk800,StockABS,
01:54:50,straight,StockABS,StockABS1.pc,straight,5,80,0.0,0.0,1.0,1788771306-0002,57.4696,188.55,1.1334,3.07,80.0,57.47,1.133,0.00,0.2,0.2,1.2,0.0,1.598,0.2291,0,,0,22.3,OK,etk800,StockABS,
01:55:18,straight,StockABS,StockABS1.pc,straight,5,120,0.0,0.0,1.0,1788771336-0003,125.9958,413.37,1.1637,4.57,120.0,126.00,1.164,0.00,0.2,0.2,2.1,0.0,2.579,0.1816,0,,0,24.0,OK,etk800,StockABS,
01:56:10,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,5,60,0.0,0.0,1.0,1788771386-0001,33.1628,108.80,1.1042,2.32,60.0,33.16,1.104,0.00,0.2,0.2,0.8,0.0,1.138,0.2678,0,,0,21.6,OK,etk800,StockABS_TC_ESC,
01:56:37,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,5,80,0.0,0.0,1.0,1788771414-0002,57.0927,187.31,1.1409,3.06,80.0,57.09,1.141,0.00,0.2,0.2,1.3,0.0,1.577,0.2514,0,,0,22.6,OK,etk800,StockABS_TC_ESC,
01:57:06,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,5,120,0.0,0.0,1.0,1788771443-0003,125.1857,410.71,1.1713,4.55,120.0,125.19,1.171,0.00,0.2,0.2,2.0,0.0,2.556,0.1778,0,,0,25.4,OK,etk800,StockABS_TC_ESC,
01:57:59,straight,DynamicABS,DynamicABS1.pc,straight,6,60,0.0,0.0,1.0,1788771495-0001,32.3087,106.00,1.1334,2.28,60.0,32.31,1.133,0.00,0.2,0.1,0.9,0.0,1.095,0.3172,0,6b41ae38-d111e559-110747,1,22.0,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep6_1788771495-0001_2khz.csv
01:58:28,straight,DynamicABS,DynamicABS1.pc,straight,6,80,0.0,0.0,1.0,1788771524-0002,55.9861,183.68,1.1635,3.02,80.0,55.99,1.163,0.00,0.2,0.2,1.3,0.0,1.595,0.2525,0,6b41ae38-d111e559-110747,1,23.1,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep6_1788771524-0002_2khz.csv
01:58:57,straight,DynamicABS,DynamicABS1.pc,straight,6,120,0.0,0.0,1.0,1788771555-0003,124.6453,408.94,1.1763,4.52,120.0,124.65,1.176,0.00,0.2,0.2,1.9,0.0,2.563,0.1669,0,6b41ae38-d111e559-110747,1,25.4,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep6_1788771555-0003_2khz.csv
01:59:50,straight,StockABS,StockABS1.pc,straight,6,60,0.0,0.0,1.0,1788771608-0001,33.1351,108.71,1.1051,2.33,60.0,33.14,1.105,0.00,0.2,0.1,0.9,0.0,1.149,0.3129,0,,0,23.6,OK,etk800,StockABS,
02:00:20,straight,StockABS,StockABS1.pc,straight,6,80,0.0,0.0,1.0,1788771636-0002,57.5269,188.74,1.1323,3.07,80.0,57.53,1.132,0.00,0.2,0.2,1.1,0.0,1.603,0.2276,0,,0,22.4,OK,etk800,StockABS,
02:00:48,straight,StockABS,StockABS1.pc,straight,6,120,0.0,0.0,1.0,1788771665-0003,126.2371,414.16,1.1615,4.56,120.0,126.24,1.161,0.00,0.2,0.2,2.1,0.0,2.579,0.1842,0,,0,23.9,OK,etk800,StockABS,
02:01:40,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,6,60,0.0,0.0,1.0,1788771716-0001,33.4145,109.63,1.0959,2.33,60.0,33.41,1.096,0.00,0.2,0.1,0.9,0.0,1.119,0.3074,0,,0,22.4,OK,etk800,StockABS_TC_ESC,
02:02:08,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,6,80,0.0,0.0,1.0,1788771744-0002,57.4821,188.59,1.1332,3.09,80.0,57.48,1.133,0.00,0.2,0.2,1.2,0.0,1.603,0.2392,0,,0,22.3,OK,etk800,StockABS_TC_ESC,
02:02:36,straight,StockABS_TC_ESC,StockABSTCESC1.pc,straight,6,120,0.0,0.0,1.0,1788771774-0003,126.9993,416.66,1.1545,4.58,120.0,127.00,1.155,0.00,0.2,0.2,2.0,0.0,2.569,0.1771,0,,0,24.2,OK,etk800,StockABS_TC_ESC,
02:03:28,straight,DynamicABS,DynamicABS1.pc,straight,7,60,0.0,0.0,1.0,1788771824-0001,32.3139,106.02,1.1332,2.28,60.0,32.31,1.133,0.00,0.2,0.1,0.9,0.0,1.110,0.3124,0,6b41ae38-d111e559-110747,1,23.1,OK,etk800,DynamicABS,etk800_DynamicABS_60mph_rep7_1788771824-0001_2khz.csv
02:03:59,straight,DynamicABS,DynamicABS1.pc,straight,7,80,0.0,0.0,1.0,1788771858-0002,55.8730,183.31,1.1658,3.02,80.0,55.87,1.166,0.00,0.2,0.2,1.3,0.0,1.596,0.2575,0,6b41ae38-d111e559-110747,1,26.1,OK,etk800,DynamicABS,etk800_DynamicABS_80mph_rep7_1788771858-0002_2khz.csv
02:04:32,straight,DynamicABS,DynamicABS1.pc,straight,7,120,0.0,0.0,1.0,1788771891-0003,124.6292,408.89,1.1765,4.53,120.0,124.63,1.176,0.00,0.2,0.2,2.2,0.0,2.561,0.1951,0,6b41ae38-d111e559-110747,1,27.6,OK,etk800,DynamicABS,etk800_DynamicABS_120mph_rep7_1788771891-0003_2khz.csv
02:05:29,straight,StockABS,StockABS1.pc,straight,7,60,0.0,0.0,1.0,1788771947-0001,32.6203,107.02,1.1226,2.31,60.0,32.62,1.123,0.00,0.2,0.1,0.8,0.0,1.147,0.2994,0,,0,24.6,OK,etk800,StockABS,
02:06:00,straight,StockABS,StockABS1.pc,straight,7,80,0.0,0.0,1.0,1788771981-0002,57.0254,187.09,1.1423,3.05,80.0,57.03,1.142,0.00,0.2,0.2,1.2,0.0,1.591,0.2446,0,,0,28.0,OK,etk800,StockABS,
