ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,build,controller,trace_2khz
22:55:13,corner,etk800,StockABS1.pc,single,1,60,-0.2,0.0,1.0,1788760527-0001,40.9158,134.24,0.8950,2.80,60.0,42.25,0.867,0.20,6.1,2.8,46.9,95.2,22.449,0.4846,0,,0,19.3,OK,stock_ref_0,StockABS,
22:55:33,corner,etk800,StockABS1.pc,single,2,60,-0.2,0.0,1.0,1788760546-0002,41.8494,137.30,0.8750,2.86,60.0,43.40,0.844,0.20,6.1,2.6,49.9,94.2,21.948,0.5053,0,,0,19.4,OK,stock_ref_0,StockABS,
22:55:52,corner,etk800,StockABS1.pc,single,3,60,-0.2,0.0,1.0,1788760566-0003,42.1214,138.19,0.8693,2.88,60.0,43.71,0.838,0.20,6.1,2.8,49.6,94.0,21.772,0.4985,0,,0,19.6,OK,stock_ref_0,StockABS,
22:56:12,corner,etk800,StockABS1.pc,single,1,60,-0.5,0.0,1.0,1788760585-0004,46.7328,153.32,0.7836,3.28,60.0,50.51,0.725,0.50,15.9,10.7,77.9,89.7,84.427,0.2500,0,,0,20.0,OK,stock_ref_0,StockABS,
22:56:32,corner,etk800,StockABS1.pc,single,2,60,-0.5,0.0,1.0,1788760605-0005,46.5699,152.79,0.7863,3.33,60.0,50.68,0.723,0.50,15.9,10.5,81.2,89.8,83.145,0.2603,0,,0,20.0,OK,stock_ref_0,StockABS,
22:56:52,corner,etk800,StockABS1.pc,single,3,60,-0.5,0.0,1.0,1788760625-0006,47.2461,155.01,0.7750,3.40,60.0,51.90,0.705,0.50,16.1,10.4,86.6,89.2,83.881,0.2652,0,,0,18.9,OK,stock_ref_0,StockABS,
22:57:11,corner,etk800,StockABS1.pc,single,1,60,-1.0,0.0,1.0,1788760644-0007,49.9702,163.94,0.7328,3.55,60.0,54.37,0.673,1.00,34.4,28.6,84.3,84.4,231.143,0.1046,0,,0,19.4,OK,stock_ref_0,StockABS,
22:57:30,corner,etk800,StockABS1.pc,single,2,60,-1.0,0.0,1.0,1788760664-0008,50.2676,164.92,0.7285,3.58,60.0,54.85,0.668,1.00,34.3,28.6,85.4,83.9,230.644,0.1053,0,,0,19.0,OK,stock_ref_0,StockABS,
22:57:49,corner,etk800,StockABS1.pc,single,3,60,-1.0,0.0,1.0,1788760683-0009,49.9524,163.89,0.7331,3.55,60.0,54.34,0.674,1.00,34.4,28.5,84.9,84.1,231.606,0.1053,0,,0,19.1,OK,stock_ref_0,StockABS,
22:58:30,corner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788760724-0001,38.9309,127.73,0.9406,2.71,60.0,40.41,0.906,0.20,6.0,2.0,52.7,97.3,20.096,0.5765,0,5462ed77-0301ffb8-110636,1,20.0,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.20_b1.00_rep1_1788760724-0001_2khz.csv
22:58:50,corner,etk800,DynamicABS1.pc,single,2,60,-0.2,0.0,1.0,1788760744-0002,37.1679,121.94,0.9852,2.61,60.0,38.36,0.955,0.20,6.0,2.0,48.4,99.4,20.045,0.5680,0,5462ed77-0301ffb8-110636,1,21.4,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.20_b1.00_rep2_1788760744-0002_2khz.csv
22:59:11,corner,etk800,DynamicABS1.pc,single,3,60,-0.2,0.0,1.0,1788760765-0003,38.8257,127.38,0.9431,2.69,60.0,40.21,0.911,0.20,6.1,2.2,50.8,97.5,20.399,0.5552,0,5462ed77-0301ffb8-110636,1,20.0,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.20_b1.00_rep3_1788760765-0003_2khz.csv
22:59:31,corner,etk800,DynamicABS1.pc,single,1,60,-0.5,0.0,1.0,1788760785-0004,47.6099,156.20,0.7691,3.40,60.0,52.67,0.695,0.50,15.8,9.4,92.0,88.9,82.223,0.2852,0,5462ed77-0301ffb8-110636,1,20.4,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.50_b1.00_rep1_1788760785-0004_2khz.csv
22:59:51,corner,etk800,DynamicABS1.pc,single,2,60,-0.5,0.0,1.0,1788760806-0005,47.4670,155.73,0.7714,3.37,60.0,52.33,0.700,0.50,15.8,9.5,90.5,89.0,82.658,0.2822,0,5462ed77-0301ffb8-110636,1,20.8,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.50_b1.00_rep2_1788760806-0005_2khz.csv
23:00:12,corner,etk800,DynamicABS1.pc,single,3,60,-0.5,0.0,1.0,1788760826-0006,47.8438,156.97,0.7654,3.41,60.0,52.92,0.692,0.50,15.8,9.5,92.0,88.7,82.365,0.2846,0,5462ed77-0301ffb8-110636,1,20.0,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s0.50_b1.00_rep3_1788760826-0006_2khz.csv
23:00:32,corner,etk800,DynamicABS1.pc,single,1,60,-1.0,0.0,1.0,1788760846-0007,47.6976,156.49,0.7677,3.42,60.0,52.33,0.700,1.00,34.1,26.7,93.2,88.8,227.866,0.1219,0,5462ed77-0301ffb8-110636,1,20.1,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s1.00_b1.00_rep1_1788760846-0007_2khz.csv
23:00:52,corner,etk800,DynamicABS1.pc,single,2,60,-1.0,0.0,1.0,1788760866-0008,47.1888,154.82,0.7760,3.40,60.0,51.79,0.707,1.00,34.4,27.1,93.3,89.3,229.903,0.1210,0,5462ed77-0301ffb8-110636,1,19.6,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s1.00_b1.00_rep2_1788760866-0008_2khz.csv
23:01:12,corner,etk800,DynamicABS1.pc,single,3,60,-1.0,0.0,1.0,1788760885-0009,47.5893,156.13,0.7695,3.42,60.0,52.25,0.701,1.00,34.2,26.9,93.3,88.9,228.567,0.1215,0,5462ed77-0301ffb8-110636,1,19.5,OK,live_pidfix,DynamicABS,live_pidfix_DynamicABS_s1.00_b1.00_rep3_1788760885-0009_2khz.csv
23:01:52,corner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788760925-0001,34.2599,112.40,1.0688,2.41,60.0,34.65,1.057,0.20,6.2,3.3,29.4,100.0,26.663,0.3623,0,6b41ae38-d111e559-110747,1,20.3,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.20_b1.00_rep1_1788760925-0001_2khz.csv
23:02:12,corner,etk800,DynamicABS1.pc,single,2,60,-0.2,0.0,1.0,1788760946-0002,34.2383,112.33,1.0695,2.41,60.0,34.61,1.058,0.20,6.2,3.3,28.8,100.0,26.878,0.3555,0,6b41ae38-d111e559-110747,1,20.3,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.20_b1.00_rep2_1788760946-0002_2khz.csv
23:02:32,corner,etk800,DynamicABS1.pc,single,3,60,-0.2,0.0,1.0,1788760969-0003,34.7157,113.90,1.0548,2.44,60.0,35.13,1.042,0.20,6.1,3.2,29.8,100.0,26.341,0.3675,0,6b41ae38-d111e559-110747,1,22.5,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.20_b1.00_rep3_1788760969-0003_2khz.csv
23:02:55,corner,etk800,DynamicABS1.pc,single,1,60,-0.5,0.0,1.0,1788760989-0004,39.5818,129.86,0.9251,2.78,60.0,41.16,0.890,0.50,15.8,10.5,57.3,96.6,83.842,0.2276,0,6b41ae38-d111e559-110747,1,20.6,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.50_b1.00_rep1_1788760989-0004_2khz.csv
23:03:15,corner,etk800,DynamicABS1.pc,single,2,60,-0.5,0.0,1.0,1788761009-0005,39.1473,128.44,0.9354,2.75,60.0,40.69,0.900,0.50,15.9,10.6,57.2,97.1,84.391,0.2272,0,6b41ae38-d111e559-110747,1,20.3,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.50_b1.00_rep2_1788761009-0005_2khz.csv
23:03:36,corner,etk800,DynamicABS1.pc,single,3,60,-0.5,0.0,1.0,1788761030-0006,39.1343,128.39,0.9357,2.76,60.0,40.71,0.900,0.50,16.0,10.6,57.5,97.1,84.467,0.2272,0,6b41ae38-d111e559-110747,1,20.7,OK,V2.82,DynamicABS,V2.82_DynamicABS_s0.50_b1.00_rep3_1788761030-0006_2khz.csv
23:03:56,corner,etk800,DynamicABS1.pc,single,1,60,-1.0,0.0,1.0,1788761050-0007,42.6516,139.93,0.8585,3.02,60.0,45.09,0.812,1.00,34.3,27.4,72.1,93.4,226.975,0.1084,0,6b41ae38-d111e559-110747,1,20.4,OK,V2.82,DynamicABS,V2.82_DynamicABS_s1.00_b1.00_rep1_1788761050-0007_2khz.csv
23:04:17,corner,etk800,DynamicABS1.pc,single,2,60,-1.0,0.0,1.0,1788761071-0008,42.9467,140.90,0.8526,3.03,60.0,45.36,0.807,1.00,34.1,27.3,71.4,93.1,226.335,0.1077,0,6b41ae38-d111e559-110747,1,20.0,OK,V2.82,DynamicABS,V2.82_DynamicABS_s1.00_b1.00_rep2_1788761071-0008_2khz.csv
23:04:37,corner,etk800,DynamicABS1.pc,single,3,60,-1.0,0.0,1.0,1788761090-0009,42.3829,139.05,0.8640,2.99,60.0,44.59,0.821,1.00,34.2,27.7,68.9,93.7,227.233,0.1050,0,6b41ae38-d111e559-110747,1,20.3,OK,V2.82,DynamicABS,V2.82_DynamicABS_s1.00_b1.00_rep3_1788761090-0009_2khz.csv
23:05:19,corner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788761134-0001,39.0204,128.02,0.9384,2.69,60.0,40.35,0.908,0.20,6.0,2.2,49.3,97.2,20.558,0.5411,0,,0,21.3,OK,ABS-1F,DynamicABS,
23:05:40,corner,etk800,DynamicABS1.pc,single,2,60,-0.2,0.0,1.0,1788761156-0002,38.7893,127.26,0.9440,2.68,60.0,40.16,0.912,0.20,6.1,2.2,50.4,97.5,20.496,0.5490,0,,0,21.8,OK,ABS-1F,DynamicABS,
23:06:02,corner,etk800,DynamicABS1.pc,single,3,60,-0.2,0.0,1.0,1788761178-0003,38.5696,126.54,0.9494,2.67,60.0,39.92,0.917,0.20,6.1,2.2,50.0,97.8,20.567,0.5462,0,,0,22.4,OK,ABS-1F,DynamicABS,
23:06:25,corner,etk800,DynamicABS1.pc,single,1,60,-0.5,0.0,1.0,1788761201-0004,48.2113,158.17,0.7595,3.48,60.0,53.83,0.680,0.50,15.9,9.4,96.0,88.4,82.075,0.2895,0,,0,23.0,OK,ABS-1F,DynamicABS,
23:06:47,corner,etk800,DynamicABS1.pc,single,2,60,-0.5,0.0,1.0,1788761223-0005,48.0928,157.78,0.7614,3.47,60.0,53.59,0.683,0.50,15.9,9.4,95.0,88.5,82.284,0.2872,0,,0,22.8,OK,ABS-1F,DynamicABS,
23:07:10,corner,etk800,DynamicABS1.pc,single,3,60,-0.5,0.0,1.0,1788761246-0006,48.1616,158.01,0.7603,3.47,60.0,53.71,0.682,0.50,15.9,9.4,95.6,88.5,82.179,0.2890,0,,0,22.6,OK,ABS-1F,DynamicABS,
23:07:33,corner,etk800,DynamicABS1.pc,single,1,60,-1.0,0.0,1.0,1788761269-0007,47.4791,155.77,0.7712,3.44,60.0,52.26,0.701,1.00,34.3,26.5,95.5,89.0,228.925,0.1234,0,,0,21.6,OK,ABS-1F,DynamicABS,
23:07:54,corner,etk800,DynamicABS1.pc,single,2,60,-1.0,0.0,1.0,1788761290-0008,47.5902,156.14,0.7694,3.45,60.0,52.47,0.698,1.00,34.2,26.4,96.4,88.9,228.141,0.1246,0,,0,21.6,OK,ABS-1F,DynamicABS,
23:08:16,corner,etk800,DynamicABS1.pc,single,3,60,-1.0,0.0,1.0,1788761312-0009,47.8116,156.86,0.7659,3.46,60.0,52.69,0.695,1.00,34.2,26.4,95.9,88.7,228.280,0.1236,0,,0,21.4,OK,ABS-1F,DynamicABS,
23:08:59,corner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788761354-0001,35.5511,116.64,1.0300,2.47,60.0,36.12,1.014,0.20,6.2,3.1,34.4,100.0,24.479,0.4090,0,8dd7877c-132be163-62802,1,21.6,OK,V1.09,DynamicABS,V1.09_DynamicABS_s0.20_b1.00_rep1_1788761354-0001_2khz.csv
23:09:21,corner,etk800,DynamicABS1.pc,single,2,60,-0.2,0.0,1.0,1788761375-0002,36.0868,118.39,1.0147,2.48,60.0,36.64,0.999,0.20,6.1,3.1,33.7,100.0,24.521,0.4035,0,8dd7877c-132be163-62802,1,19.5,OK,V1.09,DynamicABS,V1.09_DynamicABS_s0.20_b1.00_rep2_1788761375-0002_2khz.csv
23:09:40,corner,etk800,DynamicABS1.pc,single,3,60,-0.2,0.0,1.0,1788761394-0003,35.9157,117.83,1.0196,2.48,60.0,36.48,1.004,0.20,6.1,3.1,34.4,100.0,24.447,0.4114,0,8dd7877c-132be163-62802,1,20.3,OK,V1.09,DynamicABS,V1.09_DynamicABS_s0.20_b1.00_rep3_1788761394-0003_2khz.csv
