ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,speed_factor,measured_factor
12:11:47,speedfactor,roamer,StockABS5.pc,straight,1,120,0.0,0.0,1.0,1788808326-0001,155.5140,510.22,0.9428,5.75,120.0,155.51,0.943,0.00,0.1,0.1,2.9,0.0,1.833,0.3212,0,,0,26.4,OK,1,
12:12:15,speedfactor,roamer,StockABS5.pc,straight,1,120,0.0,0.0,1.0,1788808352-0002,155.3045,509.53,0.9441,5.74,120.0,155.31,0.944,0.00,0.1,0.1,2.8,0.0,1.819,0.3125,0,,0,22.2,OK,32,
12:12:39,speedfactor,roamer,StockABS5.pc,straight,2,120,0.0,0.0,1.0,1788808377-0003,155.2860,509.47,0.9442,5.74,120.0,155.29,0.944,0.00,0.1,0.1,3.0,0.0,1.803,0.3361,0,,0,25.9,OK,1,
12:13:06,speedfactor,roamer,StockABS5.pc,straight,2,120,0.0,0.0,1.0,1788808403-0004,165.5783,543.24,0.8855,5.97,120.0,165.58,0.886,0.00,0.2,0.1,3.1,0.0,1.972,0.3122,0,,0,22.7,OK,32,
12:13:31,speedfactor,roamer,StockABS5.pc,straight,3,120,0.0,0.0,1.0,1788808429-0005,165.6809,543.57,0.8850,5.96,120.0,165.68,0.885,0.00,0.2,0.1,2.8,0.0,1.991,0.2842,0,,0,26.3,OK,1,
12:13:59,speedfactor,roamer,StockABS5.pc,straight,3,120,0.0,0.0,1.0,1788808455-0006,166.0072,544.64,0.8832,5.98,120.0,166.01,0.883,0.00,0.1,0.1,2.9,0.0,2.014,0.2868,0,,0,23.1,OK,32,
12:14:23,speedfactor,roamer,StockABS5.pc,straight,4,120,0.0,0.0,1.0,1788808481-0007,166.0904,544.92,0.8828,5.98,120.0,166.09,0.883,0.00,0.2,0.1,3.4,0.0,1.958,0.3447,0,,0,26.2,OK,1,
12:14:51,speedfactor,roamer,StockABS5.pc,straight,4,120,0.0,0.0,1.0,1788808508-0008,165.1816,541.93,0.8877,5.95,120.0,165.18,0.888,0.00,0.1,0.1,2.7,0.0,1.974,0.2728,0,,0,23.9,OK,32,
12:15:16,speedfactor,roamer,StockABS5.pc,straight,5,120,0.0,0.0,1.0,1788808534-0009,165.2863,542.28,0.8871,5.95,120.0,165.29,0.887,0.00,0.1,0.1,2.9,0.0,1.952,0.2936,0,,0,24.8,OK,1,
12:15:43,speedfactor,roamer,StockABS5.pc,straight,5,120,0.0,0.0,1.0,1788808559-0010,165.1086,541.70,0.8880,5.94,120.0,165.11,0.888,0.00,0.1,0.1,2.9,0.0,1.967,0.2911,0,,0,22.8,OK,32,
12:16:07,speedfactor,roamer,StockABS5.pc,straight,6,120,0.0,0.0,1.0,1788808585-0011,156.8332,514.54,0.9349,5.79,120.0,156.83,0.935,0.00,0.2,0.1,3.2,0.0,1.846,0.3563,0,,0,25.4,OK,1,
12:16:34,speedfactor,roamer,StockABS5.pc,straight,6,120,0.0,0.0,1.0,1788808610-0012,166.1023,544.95,0.8827,5.98,120.0,166.10,0.883,0.00,0.2,0.1,3.0,0.0,1.974,0.3014,0,,0,22.7,OK,32,
12:16:58,speedfactor,roamer,StockABS5.pc,straight,7,120,0.0,0.0,1.0,1788808637-0013,166.6630,546.79,0.8798,5.98,120.0,166.66,0.880,0.00,0.2,0.1,3.0,0.0,2.000,0.2940,0,,0,26.6,OK,1,
12:17:26,speedfactor,roamer,StockABS5.pc,straight,7,120,0.0,0.0,1.0,1788808663-0014,165.4740,542.89,0.8861,5.95,120.0,165.47,0.886,0.00,0.2,0.1,3.0,0.0,1.977,0.2963,0,,0,23.2,OK,32,
12:17:51,speedfactor,roamer,StockABS5.pc,straight,8,120,0.0,0.0,1.0,1788808690-0015,155.2328,509.29,0.9445,5.74,120.0,155.23,0.945,0.00,0.1,0.1,2.9,0.0,1.804,0.3284,0,,0,26.8,OK,1,
12:18:19,speedfactor,roamer,StockABS5.pc,straight,8,120,0.0,0.0,1.0,1788808716-0016,166.4399,546.06,0.8809,5.98,120.0,166.44,0.881,0.00,0.1,0.1,2.7,0.0,1.974,0.2732,0,,0,22.3,OK,32,
12:18:43,speedfactor,roamer,StockABS5.pc,straight,9,120,0.0,0.0,1.0,1788808741-0017,166.4679,546.15,0.8808,5.98,120.0,166.47,0.881,0.00,0.2,0.1,3.1,0.0,1.990,0.3125,0,,0,25.1,OK,1,
12:19:10,speedfactor,roamer,StockABS5.pc,straight,9,120,0.0,0.0,1.0,1788808766-0018,155.0326,508.64,0.9458,5.75,120.0,155.03,0.946,0.00,0.2,0.1,3.2,0.0,1.809,0.3635,0,,0,22.6,OK,32,
12:19:34,speedfactor,roamer,StockABS5.pc,straight,10,120,0.0,0.0,1.0,1788808792-0019,165.9807,544.56,0.8834,5.98,120.0,165.98,0.883,0.00,0.2,0.1,3.2,0.0,2.005,0.3168,0,,0,26.3,OK,1,
12:20:02,speedfactor,roamer,StockABS5.pc,straight,10,120,0.0,0.0,1.0,1788808818-0020,165.2425,542.13,0.8873,5.97,120.0,165.24,0.887,0.00,0.2,0.1,3.1,0.0,1.992,0.3106,0,,0,22.4,OK,32,
