ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
00:14:29,3,Ice,1,40,129.1,1788765282-0001,52.0817,0.3119,D,7265,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:15:06,3,Ice,2,40,134.0,1788765319-0002,48.9646,0.3318,D,7063,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:15:42,4,Grass,1,60,116.3,1788765352-0003,54.3841,0.6733,D,7413,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:16:15,4,Grass,2,60,135.1,1788765386-0004,59.6550,0.6138,D,6988,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:16:49,5,Sand,1,60,120.2,1788765419-0005,52.6638,0.6953,D,7266,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:17:21,5,Sand,2,60,136.0,1788765452-0006,54.2915,0.6745,D,7289,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:17:55,6,incline_15deg,1,45,70.5,1788765484-0007,13.1205,1.5682,D,5737,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:18:24,7,incline_35deg,1,45,88.8,1788765514-0008,13.0003,1.5827,D,5566,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:18:54,8,smalljump,1,30,73.4,1788765545-0009,15.0405,0.6061,D,5886,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:19:25,8,smalljump,2,30,77.4,1788765576-0010,10.7055,0.8516,D,5304,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:19:56,8,smalljump,3,30,82.3,1788765607-0011,13.5370,0.6734,D,8256,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
