ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
00:43:18,3,Ice,1,40,129.1,1788767011-0001,66.1694,0.2455,D,7222,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:43:56,3,Ice,2,40,134.0,1788767049-0002,67.7304,0.2399,D,5442,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:44:34,4,Grass,1,60,116.3,1788767084-0003,52.9397,0.6917,D,7327,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:45:06,4,Grass,2,60,135.1,1788767118-0004,57.0412,0.6420,D,6979,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:45:40,5,Sand,1,60,120.2,1788767150-0005,52.5161,0.6973,D,7239,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:46:13,5,Sand,2,60,136.0,1788767184-0006,52.4653,0.6979,D,6748,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:46:46,6,incline_15deg,1,45,70.5,1788767215-0007,13.0557,1.5760,D,5748,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:47:15,7,incline_35deg,1,45,88.8,1788767245-0008,12.6914,1.6212,D,5487,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:47:45,8,smalljump,1,30,73.4,1788767275-0009,15.9989,0.5698,D,5868,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:48:16,8,smalljump,2,30,77.4,1788767306-0010,10.5784,0.8618,D,4688,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:48:46,8,smalljump,3,30,82.3,1788767338-0011,17.2752,0.5277,D,5985,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:49:19,9,Bump1,1,40,80.1,1788767368-0012,20.9100,0.7770,D,7896,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:49:49,9,Bump1,2,40,97.1,1788767400-0013,17.2182,0.9436,D,6769,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:50:21,10,bumpyboy1,1,30,58.3,1788767430-0014,8.0577,1.1314,D,5740,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:50:50,10,bumpyboy1,2,30,105.9,1788767463-0015,8.1053,1.1248,D,5735,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:51:23,11,bumpyboy2,1,25,42.7,1788767491-0016,7.1030,0.8891,D,4891,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:51:52,11,bumpyboy2,2,25,57.2,1788767522-0017,5.1829,1.2185,D,4218,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:52:21,11,bumpyboy2,3,25,86.4,1788767553-0018,7.4473,0.8480,D,4339,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:52:53,3,Ice,1,40,129.1,1788767585-0019,65.3275,0.2487,D,7213,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:53:31,3,Ice,2,40,134.0,1788767624-0020,68.5071,0.2371,D,5806,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:54:10,4,Grass,1,60,116.3,1788767661-0021,52.9910,0.6910,D,7290,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:54:43,4,Grass,2,60,135.1,1788767694-0022,59.0406,0.6202,D,6680,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:55:18,5,Sand,1,60,120.2,1788767728-0023,52.4053,0.6987,D,7236,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:55:51,5,Sand,2,60,136.0,1788767762-0024,51.6671,0.7087,D,6754,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:56:25,6,incline_15deg,1,45,70.5,1788767794-0025,13.0734,1.5739,D,5752,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:56:54,7,incline_35deg,1,45,88.8,1788767824-0026,12.6740,1.6234,D,5471,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:57:24,8,smalljump,1,30,73.4,1788767855-0027,15.7761,0.5779,D,5881,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:57:55,8,smalljump,2,30,77.4,1788767885-0028,9.4048,0.9693,D,3671,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:58:25,8,smalljump,3,30,82.3,1788767916-0029,18.0725,0.5044,D,5971,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:58:57,9,Bump1,1,40,80.1,1788767947-0030,20.4189,0.7957,D,7903,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
00:59:28,9,Bump1,2,40,97.1,1788767979-0031,17.5951,0.9234,D,6923,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:00:00,10,bumpyboy1,1,30,58.3,1788768008-0032,8.1438,1.1194,D,5727,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:00:29,10,bumpyboy1,2,30,105.9,1788768041-0033,8.1188,1.1229,D,5737,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:01:01,11,bumpyboy2,1,25,42.7,1788768069-0034,7.1656,0.8813,D,4898,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:01:29,11,bumpyboy2,2,25,57.2,1788768099-0035,5.3394,1.1828,D,4342,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:01:59,11,bumpyboy2,3,25,86.4,1788768132-0036,7.1710,0.8807,D,4288,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:02:32,3,Ice,1,40,129.1,1788768164-0037,65.6936,0.2473,D,7224,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:03:10,3,Ice,2,40,134.0,1788768203-0038,67.7047,0.2400,D,5787,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:03:48,4,Grass,1,60,116.3,1788768239-0039,53.0064,0.6908,D,7291,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:04:22,4,Grass,2,60,135.1,1788768273-0040,59.3067,0.6174,D,6792,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
