ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
01:12:32,3,Ice,1,40,129.1,1788768766-0001,86.5170,0.1878,D,3015,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:13:22,3,Ice,2,40,134.0,1788768816-0002,76.1885,0.2132,D,2226,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:14:04,4,Grass,1,60,116.3,1788768856-0003,80.6337,0.4541,D,4576,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:14:52,4,Grass,2,60,135.1,1788768905-0004,183.8429,0.1992,D,4040,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:16:59,5,Sand,1,60,120.2,1788769031-0005,58.4921,0.6260,D,4539,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:17:38,5,Sand,2,60,136.0,1788769071-0006,50.6843,0.7225,D,4458,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:18:14,6,incline_15deg,1,45,70.5,1788769104-0007,,,,,DAMAGED dmg=7971,,,,,,,,,,,,,,,,,,,,,
01:18:31,7,incline_35deg,1,45,88.8,1788769122-0008,24.5972,0.8365,D,3452,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:19:04,8,smalljump,1,30,73.4,1788769155-0009,14.6519,0.6222,D,2316,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:19:37,8,smalljump,2,30,77.4,1788769188-0010,11.3293,0.8047,D,1834,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:20:09,8,smalljump,3,30,82.3,1788769221-0011,10.8210,0.8425,D,2276,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:20:42,9,Bump1,1,40,80.1,1788769253-0012,,,,,DAMAGED dmg=0,,,,,,,,,,,,,,,,,,,,,
01:22:58,9,Bump1,2,40,97.1,1788769390-0013,27.9005,0.5823,D,5509,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:23:33,10,bumpyboy1,1,30,58.3,1788769424-0014,10.4754,0.8703,D,2266,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:24:06,10,bumpyboy1,2,30,105.9,1788769460-0015,10.5901,0.8609,D,2255,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:24:40,11,bumpyboy2,1,25,42.7,1788769490-0016,9.0773,0.6957,D,3305,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:25:11,11,bumpyboy2,2,25,57.2,1788769521-0017,7.4001,0.8534,D,1885,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:25:42,11,bumpyboy2,3,25,86.4,1788769555-0018,8.5164,0.7416,D,1736,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
