ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,dmg,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
01:47:15,3,Ice,1,40,129.1,1788770848-0001,72.7347,0.2234,D,3014,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:47:55,3,Ice,2,40,134.0,1788770889-0002,73.2602,0.2218,D,1657,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:48:35,4,Grass,1,60,116.3,1788770927-0003,55.3559,0.6615,D,4581,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:49:10,4,Grass,2,60,135.1,1788770963-0004,59.5476,0.6149,D,4043,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:49:46,5,Sand,1,60,120.2,1788770998-0005,49.2209,0.7439,D,4543,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:50:21,5,Sand,2,60,136.0,1788771034-0006,50.4440,0.7259,D,4448,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:50:56,6,incline_15deg,1,45,70.5,1788771067-0007,,,,,6540,DAMAGED dmg=6540,,,,,,,,,,,,,,,,,,,,,
01:51:13,7,incline_35deg,1,45,88.8,1788771084-0008,24.2296,0.8492,D,3417,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:51:46,8,smalljump,1,30,73.4,1788771117-0009,15.4552,0.5899,D,2292,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:52:18,8,smalljump,2,30,77.4,1788771149-0010,11.4012,0.7996,D,805,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:52:50,8,smalljump,3,30,82.3,1788771182-0011,13.0082,0.7008,D,2304,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:53:24,9,Bump1,1,40,80.1,1788771215-0012,,,,,4366,DAMAGED dmg=4366,,,,,,,,,,,,,,,,,,,,,
01:53:58,9,Bump1,2,40,97.1,1788771250-0013,29.8127,0.5450,D,5814,1450,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:54:32,10,bumpyboy1,1,30,58.3,1788771282-0014,10.5763,0.8620,D,2233,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:55:03,10,bumpyboy1,2,30,105.9,1788771317-0015,10.0198,0.9098,D,2228,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:55:37,11,bumpyboy2,1,25,42.7,1788771347-0016,7.3838,0.8553,D,3248,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:56:07,11,bumpyboy2,2,25,57.2,1788771378-0017,7.2665,0.8691,D,1841,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:56:37,11,bumpyboy2,3,25,86.4,1788771411-0018,8.0860,0.7810,D,1782,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:57:11,3,Ice,1,40,129.1,1788771445-0019,72.2622,0.2248,D,3002,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:57:51,3,Ice,2,40,134.0,1788771486-0020,74.4313,0.2183,D,2124,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:58:33,4,Grass,1,60,116.3,1788771525-0021,54.5977,0.6707,D,4579,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:59:08,4,Grass,2,60,135.1,1788771561-0022,55.1449,0.6640,D,3984,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
01:59:44,5,Sand,1,60,120.2,1788771596-0023,50.0844,0.7311,D,4554,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:00:19,5,Sand,2,60,136.0,1788771632-0024,51.8889,0.7057,D,4462,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:00:55,6,incline_15deg,1,45,70.5,1788771666-0025,,,,,6222,DAMAGED dmg=6222,,,,,,,,,,,,,,,,,,,,,
02:01:15,7,incline_35deg,1,45,88.8,1788771686-0026,24.1244,0.8529,D,3440,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:01:48,8,smalljump,1,30,73.4,1788771719-0027,15.4148,0.5914,D,2964,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:02:20,8,smalljump,2,30,77.4,1788771752-0028,11.2071,0.8135,D,832,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
