ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,dmg,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
02:21:29,3,Ice,1,40,129.1,1788772905-0001,59.5042,0.2730,2,4305,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:22:10,3,Ice,2,40,134.0,1788772947-0002,63.9756,0.2539,2,3389,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:22:51,4,Grass,1,60,116.3,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:23:13,4,Grass,2,60,135.1,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:23:36,5,Sand,1,60,120.2,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:23:58,5,Sand,2,60,136.0,1788773054-0003,45.2089,0.8100,2,6296,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:24:36,6,incline_15deg,1,45,70.5,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:24:54,7,incline_35deg,1,45,88.8,1788773108-0004,14.6329,1.4061,2,5138,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:25:28,8,smalljump,1,30,73.4,1788773142-0005,17.4141,0.5235,2,3227,114,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:26:03,8,smalljump,2,30,77.4,1788773177-0006,12.7535,0.7148,2,2576,1281,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:26:37,8,smalljump,3,30,82.3,1788773211-0007,13.1176,0.6950,2,5428,157,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:27:11,9,Bump1,1,40,80.1,1788773245-0008,21.0155,0.7731,2,4763,17,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:27:47,9,Bump1,2,40,97.1,1788773282-0009,22.8717,0.7103,2,6208,84,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:28:23,10,bumpyboy1,1,30,58.3,1788773316-0010,8.5078,1.0716,2,3461,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:28:56,10,bumpyboy1,2,30,105.9,1788773352-0011,8.4699,1.0763,2,3184,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:29:33,11,bumpyboy2,1,25,42.7,1788773384-0012,7.8803,0.8014,2,2268,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:30:04,11,bumpyboy2,2,25,57.2,1788773417-0013,6.1936,1.0196,2,2747,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:30:38,11,bumpyboy2,3,25,86.4,1788773453-0014,12.3172,0.5128,2,4559,130,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:31:14,3,Ice,1,40,129.1,1788773490-0015,59.4309,0.2734,2,4042,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:31:56,3,Ice,2,40,134.0,1788773533-0016,64.0403,0.2537,2,3359,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:32:38,4,Grass,1,60,116.3,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:33:00,4,Grass,2,60,135.1,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:33:23,5,Sand,1,60,120.2,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:33:45,5,Sand,2,60,136.0,1788773641-0017,45.0745,0.8124,2,6295,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:34:23,6,incline_15deg,1,45,70.5,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:34:41,7,incline_35deg,1,45,88.8,1788773695-0018,15.7498,1.3064,2,5140,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:35:15,8,smalljump,1,30,73.4,1788773729-0019,17.5784,0.5186,2,3220,100,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:35:50,8,smalljump,2,30,77.4,1788773764-0020,12.3468,0.7384,2,2485,100,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:36:24,8,smalljump,3,30,82.3,1788773799-0021,13.0563,0.6982,2,5448,121,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:37:00,9,Bump1,1,40,80.1,1788773834-0022,20.4845,0.7931,2,4777,17,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:37:35,9,Bump1,2,40,97.1,1788773870-0023,22.9132,0.7090,2,6195,90,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:38:11,10,bumpyboy1,1,30,58.3,1788773904-0024,8.4630,1.0773,2,3443,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:38:44,10,bumpyboy1,2,30,105.9,1788773940-0025,8.3998,1.0853,2,3203,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:39:21,11,bumpyboy2,1,25,42.7,1788773972-0026,7.8580,0.8037,2,2396,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:39:53,11,bumpyboy2,2,25,57.2,1788774006-0027,6.1233,1.0313,2,2807,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:40:26,11,bumpyboy2,3,25,86.4,1788774041-0028,8.9458,0.7060,2,3199,71,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:41:01,3,Ice,1,40,129.1,1788774078-0029,59.3420,0.2738,2,4033,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:41:43,3,Ice,2,40,134.0,1788774120-0030,64.1540,0.2532,2,3391,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:42:26,4,Grass,1,60,116.3,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:42:47,4,Grass,2,60,135.1,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:43:11,5,Sand,1,60,120.2,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:43:33,5,Sand,2,60,136.0,1788774229-0031,49.3809,0.7415,2,6295,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:44:11,6,incline_15deg,1,45,70.5,,,,,,,NO_MEASURE (line crossed below speed),,,,,,,,,,,,,,,,,,,,,
02:44:29,7,incline_35deg,1,45,88.8,1788774283-0032,14.3741,1.4314,2,5091,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:45:03,8,smalljump,1,30,73.4,1788774317-0033,17.5684,0.5189,2,3215,70,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:45:38,8,smalljump,2,30,77.4,1788774353-0034,12.3755,0.7367,2,2430,100,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:46:13,8,smalljump,3,30,82.3,1788774388-0035,12.7751,0.7136,2,5424,120,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:46:49,9,Bump1,1,40,80.1,1788774422-0036,20.1914,0.8046,2,4777,17,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:47:23,9,Bump1,2,40,97.1,1788774458-0037,22.6966,0.7158,2,6190,87,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:48:00,10,bumpyboy1,1,30,58.3,1788774492-0038,8.4250,1.0821,2,3470,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:48:32,10,bumpyboy1,2,30,105.9,1788774528-0039,8.6870,1.0494,2,3207,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:49:09,11,bumpyboy2,1,25,42.7,1788774560-0040,7.7529,0.8146,2,2361,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:49:40,11,bumpyboy2,2,25,57.2,1788774593-0041,5.9926,1.0539,2,2783,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:50:12,11,bumpyboy2,3,25,86.4,1788774628-0042,11.6374,0.5427,2,4004,80,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
