ts,area,label,stop,mph,approach_m,runID,dist_m,avg_g,gear,rpm,dmg,status,snaps,undos,reanchors,air,gate,d2offF,d2offR,d2steps,d2c,onset,fgDumps,deepP,deepK,deepX,deepT,deepF,deepA,deepBase,deepMeas,deepN,deepExit
02:51:10,3,Ice,1,40,129.1,1788774682-0001,48.4108,0.3356,D,3983,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:51:45,3,Ice,2,40,134.0,1788774718-0002,52.4926,0.3095,D,4618,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:52:23,4,Grass,1,60,116.3,1788774753-0003,51.3167,0.7136,D,6070,149,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:52:56,4,Grass,2,60,135.1,1788774787-0004,56.5797,0.6472,D,5227,203,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:53:29,5,Sand,1,60,120.2,1788774820-0005,51.4155,0.7122,D,6070,34,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:54:03,5,Sand,2,60,136.0,1788774854-0006,53.1889,0.6884,D,5429,128,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:54:36,6,incline_15deg,1,45,70.5,1788774885-0007,11.5940,1.7747,D,4721,1,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:55:06,7,incline_35deg,1,45,88.8,1788774916-0008,13.1190,1.5684,D,4441,40,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:55:35,8,smalljump,1,30,73.4,1788774946-0009,14.1006,0.6465,D,4944,343,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:56:06,8,smalljump,2,30,77.4,1788774978-0010,10.5936,0.8606,D,4127,402,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:56:38,8,smalljump,3,30,82.3,1788775009-0011,13.5108,0.6748,D,7188,378,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:57:10,9,Bump1,1,40,80.1,1788775040-0012,14.6010,1.1127,D,4332,160,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:57:40,9,Bump1,2,40,97.1,1788775071-0013,14.1852,1.1453,D,2993,289,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:58:12,10,bumpyboy1,1,30,58.3,1788775101-0014,6.5860,1.3843,D,5361,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:58:41,10,bumpyboy1,2,30,105.9,1788775134-0015,6.5240,1.3974,D,5189,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:59:13,11,bumpyboy2,1,25,42.7,1788775163-0016,7.6835,0.8220,D,3864,123,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
02:59:43,11,bumpyboy2,2,25,57.2,1788775193-0017,4.3586,1.4490,D,3392,135,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
03:00:13,11,bumpyboy2,3,25,86.4,1788775226-0018,,,,,2984,DAMAGED dmg=2984,,,,,,,,,,,,,,,,,,,,,
03:00:30,3,Ice,1,40,129.1,1788775243-0019,47.8619,0.3395,D,3990,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
03:01:05,3,Ice,2,40,134.0,1788775278-0020,52.9591,0.3068,D,4643,0,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
03:01:41,4,Grass,1,60,116.3,1788775312-0021,50.1228,0.7306,D,6071,94,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
03:02:14,4,Grass,2,60,135.1,1788775345-0022,55.6408,0.6581,D,5235,186,OK,,,,,,0.0000,0.0000,,0.000,,,,,,0.00,,,0.000,0.000,,
